
"No","Date","Pitch ID","Pitch Type","Is Strike","Strike Zone Side","Strike Zone Height","Velocity","Total Spin","True Spin (release)","Spin Efficiency (release)","Spin Direction","Spin Confidence","VB (trajectory)","HB (trajectory)","SSW VB","SSW HB","VB (spin)","HB (spin)","Horizontal Angle","Release Angle","Release Height","Release Side","Release Extension (ft)","Gyro Degree (deg)","Unique ID","Device Serial Number","SO - latLongConfidence","SO - latitude","SO - longitude","SO - rotMatConfidence","SO - timestamp","SO - Xx","SO - Xy","SO - Xz","SO - Yx","SO - Yy","SO - Yz","SO - Zx","SO - Zy","SO - Zz","Horizontal Approach Angle","Vertical Approach Angle"
59,"Sun Feb 16 2025 7:14:51 PM",1739733291,"Fastball","N","-20.44","21.75",83.62,2032.4,1756.3,86.4,"01:28",0.9,16.1,15.2,"-","-","13.5","13.1","-5.95","-2.20","5.73","2.46",2.083765,"-30.21","1269881@1739733291","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
60,"Sun Feb 16 2025 7:15:06 PM",1739733306,"Fastball","Y","-9.61","21.55",83.35,1956.9,1664.5,85.1,"01:46",0.9,15,14.8,"-","-","10.6","14.1","-5.15","-1.98","5.57","2.64","-","-31.73","1269881@1739733306","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
61,"Sun Feb 16 2025 7:15:20 PM",1739733320,"Fastball","N","-9.62","49.44",84.15,1988.1,1766.1,88.8,"01:28",0.9,18.2,17.8,"-","-","13.3","13.2","-5.51","0.21","5.58","2.73",2.1160183,"-27.34","1269881@1739733320","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
62,"Sun Feb 16 2025 7:23:18 PM",1739733798,"Fastball","N","-3.92","44.15",80.98,1922.8,1745.3,90.8,"01:26",0.9,19.5,16.6,"-","-","13.6","13.0","-4.75","-0.18","5.61","2.57","-","-24.82","1269881@1739733798","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
63,"Sun Feb 16 2025 7:23:32 PM",1739733812,"Fastball","Y","-6.96","37.05",81.2,1910.7,1723.9,90.2,"01:26",0.8,11.9,18.8,"-","-","13.6","12.8","-5.48","-0.06","5.51","2.80","-","-25.55","1269881@1739733812","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
64,"Sun Feb 16 2025 7:23:46 PM",1739733826,"Fastball","N","-14.84","17.84",82.08,1886.4,1648.1,87.4,"01:30",0.8,8.2,20.3,"-","-","12.5","12.9","-6.13","-1.52","5.48","2.59","-","-29.11","1269881@1739733826","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
65,"Sun Feb 16 2025 7:23:57 PM",1739733837,"Fastball","Y","7.16","40.83",81.3,1962.9,1922.1,97.9,"01:28",0.9,17.5,17.6,"-","-","14.5","14.2","-4.16","-0.29","5.55","2.88","-","-11.70","1269881@1739733837","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
66,"Sun Feb 16 2025 7:24:21 PM",1739733861,"-","N","-","-",77.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1269881@1739733861","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
67,"Sun Feb 16 2025 7:24:35 PM",1739733875,"Fastball","Y","-4.49","35.66",82.8,1932.1,1741.4,90.1,"01:50",1,13.3,16.4,"-","-","10.6","15.2","-5.33","-0.27","5.37","3.09","-","-25.67","1269881@1739733875","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
68,"Sun Feb 16 2025 7:24:48 PM",1739733888,"Fastball","N","23.47","58.82",83.45,1950.8,1764,90.4,"01:24",0.7,26.7,25.1,"-","-","14.4","13.2","-3.56","0.37","5.61","3.16",1.8502922,"-25.28","1269881@1739733888","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
